version,split,modality,n,positions,zero_vector_ratio,stated_length_mean,last_nonzero_mean,interior_zero_runs
aligned,train,text,3395,50,0.0,50.0,24.645655375552284,0
aligned,train,audio,3395,50,0.5474698085419735,50.0,23.645655375552284,0
aligned,train,vision,3395,50,0.5721178203240059,50.0,22.868630338733432,210
aligned,valid,text,728,50,0.0,50.0,25.587912087912088,0
aligned,valid,audio,728,50,0.5295054945054946,50.0,24.587912087912088,0
aligned,valid,vision,728,50,0.5551648351648352,50.0,23.798076923076923,68
aligned,test,text,727,50,0.0,50.0,25.184319119669876,0
aligned,test,audio,727,50,0.5363136176066025,50.0,24.184319119669876,0
aligned,test,vision,727,50,0.564484181568088,50.0,23.23933975240715,56
unaligned,train,text,3395,50,0.0,50.0,24.645655375552284,0
unaligned,train,audio,3395,500,0.7054232695139911,147.28836524300442,147.28836524300442,0
unaligned,train,vision,3395,500,0.7917625920471282,93.25036818851252,107.46421207658321,0
unaligned,valid,text,728,50,0.0,50.0,25.587912087912088,0
unaligned,valid,audio,728,500,0.6917747252747253,154.11263736263737,154.11263736263737,0
unaligned,valid,vision,728,500,0.7793873626373626,98.6923076923077,114.28846153846153,0
unaligned,test,text,727,50,0.0,50.0,25.184319119669876,0
unaligned,test,audio,727,500,0.6882448418156809,155.87757909215955,155.87757909215955,0
unaligned,test,vision,727,500,0.7776808803301238,97.11004126547455,114.77303988995874,0
