row,sample_id,predicted_class_index,modality,scale,start_index_inclusive,end_index_exclusive,selected_eligible_positions,eligible_positions_total,relative_start_native,relative_duration_native,relative_support_fraction,token_text,phrase_text,Delta_cls,Delta_reg,intervened_predicted_class_logit,intervened_intensity,time_seconds,certified_missingness
0,-UacrmKiTn4$_$7,2,vision,0.01,0,2,2,158,0.0,0.004,0.012658227848101266,,,-0.00048792362213134766,0.0004124641418457031,0.9573602676391602,0.5293466448783875,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,14,16,2,158,0.028,0.004,0.012658227848101266,,,-0.0031484365463256836,0.0018202662467956543,0.9600207805633545,0.5307544469833374,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,28,30,2,158,0.056,0.004,0.012658227848101266,,,-0.0019572973251342773,0.0007652044296264648,0.9588296413421631,0.5296993851661682,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,42,44,2,158,0.084,0.004,0.012658227848101266,,,-0.003081083297729492,0.0018324851989746094,0.9599534273147583,0.5307666659355164,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,56,58,2,158,0.112,0.004,0.012658227848101266,,,-0.0006564855575561523,0.0006480216979980469,0.957528829574585,0.5295822024345398,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,70,72,2,158,0.14,0.004,0.012658227848101266,,,-0.00036013126373291016,0.0002008676528930664,0.9572324752807617,0.5291350483894348,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,85,87,2,158,0.17,0.004,0.012658227848101266,,,-0.0001957416534423828,0.0003235936164855957,0.9570680856704712,0.5292577743530273,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,99,101,2,158,0.198,0.004,0.012658227848101266,,,-0.0003935098648071289,0.000663459300994873,0.9572658538818359,0.5295976400375366,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,113,115,2,158,0.226,0.004,0.012658227848101266,,,-0.00032579898834228516,0.0004153251647949219,0.9571981430053711,0.5293495059013367,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,127,129,2,158,0.254,0.004,0.012658227848101266,,,0.0013288259506225586,0.00021505355834960938,0.9555435180664062,0.5287191271781921,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,141,143,2,158,0.282,0.004,0.012658227848101266,,,-0.0007309913635253906,0.0005401968955993652,0.9576033353805542,0.5294743776321411,,False
0,-UacrmKiTn4$_$7,2,vision,0.01,156,158,2,158,0.312,0.004,0.012658227848101266,,,3.647804260253906e-05,5.835294723510742e-05,0.9568358659744263,0.5288758277893066,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,0,8,8,158,0.0,0.016,0.05063291139240506,,,0.008675694465637207,0.006677091121673584,0.9481966495513916,0.5222570896148682,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,13,21,8,158,0.026,0.016,0.05063291139240506,,,-0.0063860416412353516,0.0035854578018188477,0.9632583856582642,0.5325196385383606,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,27,35,8,158,0.054,0.016,0.05063291139240506,,,-0.00758516788482666,0.004090368747711182,0.9644575119018555,0.5330245494842529,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,40,48,8,158,0.08,0.016,0.05063291139240506,,,-0.009133577346801758,0.006001889705657959,0.9660059213638306,0.5349360704421997,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,54,62,8,158,0.108,0.016,0.05063291139240506,,,0.00460362434387207,0.0035932064056396484,0.9522687196731567,0.5253409743309021,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,68,76,8,158,0.136,0.016,0.05063291139240506,,,0.005551815032958984,0.004526674747467041,0.9513205289840698,0.5244075059890747,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,81,89,8,158,0.162,0.016,0.05063291139240506,,,0.0019425153732299805,0.0008724331855773926,0.9549298286437988,0.5280617475509644,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,95,103,8,158,0.19,0.016,0.05063291139240506,,,0.0034775733947753906,0.0011079907417297363,0.9533947706222534,0.527826189994812,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,109,117,8,158,0.218,0.016,0.05063291139240506,,,-0.0003205537796020508,0.0007548928260803223,0.9571928977966309,0.5296890735626221,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,122,130,8,158,0.244,0.016,0.05063291139240506,,,0.005107879638671875,0.0016072392463684082,0.9517644643783569,0.5273269414901733,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,136,144,8,158,0.272,0.016,0.05063291139240506,,,0.0014551877975463867,0.0009770393371582031,0.9554171562194824,0.5279571413993835,,False
0,-UacrmKiTn4$_$7,2,vision,0.05,150,158,8,158,0.3,0.016,0.05063291139240506,,,-0.0016330480575561523,0.0012415647506713867,0.958505392074585,0.5301757454872131,,False
0,-UacrmKiTn4$_$7,2,vision,0.1,0,16,16,158,0.0,0.032,0.10126582278481013,,,0.004189133644104004,0.003337860107421875,0.9526832103729248,0.5255963206291199,,False
0,-UacrmKiTn4$_$7,2,vision,0.1,12,28,16,158,0.024,0.032,0.10126582278481013,,,-0.00886678695678711,0.004483997821807861,0.9657391309738159,0.5334181785583496,,False
0,-UacrmKiTn4$_$7,2,vision,0.1,25,41,16,158,0.05,0.032,0.10126582278481013,,,-0.009778976440429688,0.005263030529022217,0.9666513204574585,0.534197211265564,,False
0,-UacrmKiTn4$_$7,2,vision,0.1,38,54,16,158,0.076,0.032,0.10126582278481013,,,-0.008154630661010742,0.0045948028564453125,0.9650269746780396,0.5335289835929871,,False
0,-UacrmKiTn4$_$7,2,vision,0.1,51,67,16,158,0.102,0.032,0.10126582278481013,,,0.011475443840026855,0.010095775127410889,0.945396900177002,0.5188384056091309,,False
0,-UacrmKiTn4$_$7,2,vision,0.1,64,80,16,158,0.128,0.032,0.10126582278481013,,,0.012532591819763184,0.009927153587341309,0.9443397521972656,0.5190070271492004,,False
