row,sample_id,predicted_class_index,modality,scale,start_index_inclusive,end_index_exclusive,selected_eligible_positions,eligible_positions_total,relative_start_native,relative_duration_native,relative_support_fraction,token_text,phrase_text,Delta_cls,Delta_reg,intervened_predicted_class_logit,intervened_intensity,time_seconds,certified_missingness
0,-UacrmKiTn4$_$7,2,text,1,1,2,1,26,0.02,0.02,0.038461538461538464,you,you,-0.18328523635864258,0.06806856393814087,1.1401575803756714,0.5970027446746826,,False
0,-UacrmKiTn4$_$7,2,text,1,3,4,1,26,0.06,0.02,0.038461538461538464,your,your,-0.06608760356903076,0.01589268445968628,1.0229599475860596,0.544826865196228,,False
0,-UacrmKiTn4$_$7,2,text,1,5,6,1,26,0.1,0.02,0.038461538461538464,to,to,0.046347737312316895,0.03332781791687012,0.9105246067047119,0.49560636281967163,,False
0,-UacrmKiTn4$_$7,2,text,1,7,8,1,26,0.14,0.02,0.038461538461538464,different,different,0.15966248512268066,0.05688673257827759,0.7972098588943481,0.47204744815826416,,False
0,-UacrmKiTn4$_$7,2,text,1,10,11,1,26,0.2,0.02,0.038461538461538464,textbook,textbook,-0.1046590805053711,0.03299307823181152,1.0615314245224,0.5619272589683533,,False
0,-UacrmKiTn4$_$7,2,text,1,12,13,1,26,0.24,0.02,0.038461538461538464,",",",",0.15104657411575317,0.07475858926773071,0.8058257699012756,0.45417559146881104,,False
0,-UacrmKiTn4$_$7,2,text,1,14,15,1,26,0.28,0.02,0.038461538461538464,it,it,-0.0035926103591918945,0.03313177824020386,0.9604649543762207,0.4958024024963379,,False
0,-UacrmKiTn4$_$7,2,text,1,16,17,1,26,0.32,0.02,0.038461538461538464,s,s,0.08601701259613037,0.019616901874542236,0.8708553314208984,0.5093172788619995,,False
0,-UacrmKiTn4$_$7,2,text,1,19,20,1,26,0.38,0.02,0.038461538461538464,you,you,-0.07394909858703613,0.005052030086517334,1.030821442604065,0.5339862108230591,,False
0,-UacrmKiTn4$_$7,2,text,1,21,22,1,26,0.42,0.02,0.038461538461538464,the,the,-0.0025162696838378906,0.0064789652824401855,0.9593886137008667,0.5354131460189819,,False
0,-UacrmKiTn4$_$7,2,text,1,23,24,1,26,0.46,0.02,0.038461538461538464,on,on,0.03966653347015381,0.006720602512359619,0.917205810546875,0.5356547832489014,,False
