station,relative_path,filename,sha256,bytes,raw_line_count,trailing_newline,format_line,station_id,filename_station_id,station_id_matches_filename,longitude_deg,latitude_deg,opaque_metadata_value_4,mode,timestamp,filename_timestamp,timestamp_matches_filename,data_row_count,row_widths,height_token_min,height_token_max,height_tokens_unique,height_tokens_strictly_increasing,height_step_counts,fully_numeric_row_count,fully_missing_row_count,partially_missing_row_count,numeric_height_min,numeric_height_max,first_non_numeric_height,numeric_heights_after_first_non_numeric,missing_token_count_by_opaque_field
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,7856be522852c20d2bb47ab19dfaad201dc1b4ce5859f6a91b55ad84d980964e,2745,66,True,WNDROBS 01.20,58235,58235,True,118.8472,32.3686,16.2,LC,2025-08-02 00:00,2025-08-02 00:00,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",33,29,0,100,4420,4660,,"{""W1"": 29, ""W2"": 29, ""W3"": 29, ""W4"": 29, ""W5"": 29, ""W6"": 29}"
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802000600_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802000600_P_WPRD_LC_ROBS.TXT,1951712b4e85223cbe377285d5ebe8b9c75b85abd493aa1771e8798bd344856e,2745,66,True,WNDROBS 01.20,58235,58235,True,118.8472,32.3686,16.2,LC,2025-08-02 00:06,2025-08-02 00:06,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",33,29,0,100,4420,4660,,"{""W1"": 29, ""W2"": 29, ""W3"": 29, ""W4"": 29, ""W5"": 29, ""W6"": 29}"
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802001200_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802001200_P_WPRD_LC_ROBS.TXT,4806ce108676c434908887712b0f7e540802575fced62d8d73135fa8c1649025,2745,66,True,WNDROBS 01.20,58235,58235,True,118.8472,32.3686,16.2,LC,2025-08-02 00:12,2025-08-02 00:12,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",33,29,0,100,4420,4660,,"{""W1"": 29, ""W2"": 29, ""W3"": 29, ""W4"": 29, ""W5"": 29, ""W6"": 29}"
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802001800_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802001800_P_WPRD_LC_ROBS.TXT,534a77f26350dd524ff31456999d91e79d462cc89cdd21611bf7bc5816b118ad,2745,66,True,WNDROBS 01.20,58235,58235,True,118.8472,32.3686,16.2,LC,2025-08-02 00:18,2025-08-02 00:18,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",35,27,0,100,4900,5140,,"{""W1"": 27, ""W2"": 27, ""W3"": 27, ""W4"": 27, ""W5"": 27, ""W6"": 27}"
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802002400_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802002400_P_WPRD_LC_ROBS.TXT,d7837c97a7e4e3bd1f3c991add4ead03a8f2c4cdbc3ae6e5100f52b856f24d83,2745,66,True,WNDROBS 01.20,58235,58235,True,118.8472,32.3686,16.2,LC,2025-08-02 00:24,2025-08-02 00:24,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",36,26,0,100,5140,5380,,"{""W1"": 26, ""W2"": 26, ""W3"": 26, ""W4"": 26, ""W5"": 26, ""W6"": 26}"
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802003000_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802003000_P_WPRD_LC_ROBS.TXT,6b743a211fafcc1299169deb12de7f8fee4f3e377f360ceec53514357188b72a,2745,66,True,WNDROBS 01.20,58235,58235,True,118.8472,32.3686,16.2,LC,2025-08-02 00:30,2025-08-02 00:30,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",37,25,0,100,5380,5620,,"{""W1"": 25, ""W2"": 25, ""W3"": 25, ""W4"": 25, ""W5"": 25, ""W6"": 25}"
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802000000_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802000000_P_WPRD_LC_ROBS.TXT,80a7b423d4f2a2887cf9cc12e232cca572a08f3506d830abf1f681d8ee7ed96a,2745,66,True,WNDROBS 01.20,58238,58238,True,118.8994,31.9317,40.6,LC,2025-08-02 00:00,2025-08-02 00:00,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",41,21,0,100,6340,6580,,"{""W1"": 21, ""W2"": 21, ""W3"": 21, ""W4"": 21, ""W5"": 21, ""W6"": 21}"
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802000600_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802000600_P_WPRD_LC_ROBS.TXT,71c3971325625d40c3c18e27ac63d3645d5a56868138c757c38add1d89182a71,2745,66,True,WNDROBS 01.20,58238,58238,True,118.8994,31.9317,40.6,LC,2025-08-02 00:06,2025-08-02 00:06,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",41,21,0,100,6340,6580,,"{""W1"": 21, ""W2"": 21, ""W3"": 21, ""W4"": 21, ""W5"": 21, ""W6"": 21}"
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802001200_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802001200_P_WPRD_LC_ROBS.TXT,3bbbd6289d525df117d70e40c1f031ca22da52a0ea18e282b42d820beab41615,2745,66,True,WNDROBS 01.20,58238,58238,True,118.8994,31.9317,40.6,LC,2025-08-02 00:12,2025-08-02 00:12,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",41,21,0,100,6340,6580,,"{""W1"": 21, ""W2"": 21, ""W3"": 21, ""W4"": 21, ""W5"": 21, ""W6"": 21}"
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802001800_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802001800_P_WPRD_LC_ROBS.TXT,aa8f9998b27e52f65f94a1e18273ceae31dcf17677288ef5a429e6c6158db67e,2745,66,True,WNDROBS 01.20,58238,58238,True,118.8994,31.9317,40.6,LC,2025-08-02 00:18,2025-08-02 00:18,True,62,7,100,11380,True,True,"{""120"": 10, ""240"": 39, ""60"": 12}",41,21,0,100,6340,6580,,"{""W1"": 21, ""W2"": 21, ""W3"": 21, ""W4"": 21, ""W5"": 21, ""W6"": 21}"
