station,file_order_cycle_index,timestamp,occurrence_at_timestamp,record_id_min,record_id_max,record_ids,code_tokens,named_values_consistent_across_codes
station_a,1,2025-08-02 00:00,1,1,4,1;2;3;4,11;12;13;14,True
station_a,2,2025-08-02 00:02,1,5,8,5;6;7;8,11;12;13;14,True
station_a,3,2025-08-02 00:04,1,9,12,9;10;11;12,11;12;13;14,True
station_a,4,2025-08-02 00:06,1,13,16,13;14;15;16,11;12;13;14,True
station_a,5,2025-08-02 00:08,1,17,20,17;18;19;20,11;12;13;14,True
station_a,6,2025-08-02 00:10,1,21,24,21;22;23;24,11;12;13;14,True
station_a,7,2025-08-02 00:12,1,25,28,25;26;27;28,11;12;13;14,True
station_a,8,2025-08-02 00:14,1,29,32,29;30;31;32,11;12;13;14,True
station_a,9,2025-08-02 00:16,1,33,36,33;34;35;36,11;12;13;14,True
station_a,10,2025-08-02 00:18,1,37,40,37;38;39;40,11;12;13;14,True
station_a,11,2025-08-02 00:20,1,41,44,41;42;43;44,11;12;13;14,True
station_a,12,2025-08-02 00:22,1,45,48,45;46;47;48,11;12;13;14,True
station_a,13,2025-08-02 00:24,1,49,52,49;50;51;52,11;12;13;14,True
station_a,14,2025-08-02 00:26,1,53,56,53;54;55;56,11;12;13;14,True
station_a,15,2025-08-02 00:28,1,57,60,57;58;59;60,11;12;13;14,True
station_a,16,2025-08-02 00:30,1,61,64,61;62;63;64,11;12;13;14,True
station_b,1,2025-08-02 00:02,1,1,4,1;2;3;4,11;12;13;14,True
station_b,2,2025-08-02 00:04,1,5,8,5;6;7;8,11;12;13;14,True
station_b,3,2025-08-02 00:02,2,9,12,9;10;11;12,11;12;13;14,True
station_b,4,2025-08-02 00:06,1,13,16,13;14;15;16,11;12;13;14,True
station_b,5,2025-08-02 00:08,1,17,20,17;18;19;20,11;12;13;14,True
station_b,6,2025-08-02 00:10,1,21,24,21;22;23;24,11;12;13;14,True
station_b,7,2025-08-02 00:08,2,25,28,25;26;27;28,11;12;13;14,True
station_b,8,2025-08-02 00:10,2,29,32,29;30;31;32,11;12;13;14,True
station_b,9,2025-08-02 00:12,1,33,36,33;34;35;36,11;12;13;14,True
station_b,10,2025-08-02 00:16,1,37,40,37;38;39;40,11;12;13;14,True
station_b,11,2025-08-02 00:18,1,41,44,41;42;43;44,11;12;13;14,True
station_b,12,2025-08-02 00:20,1,45,48,45;46;47;48,11;12;13;14,True
station_b,13,2025-08-02 00:20,2,49,52,49;50;51;52,11;12;13;14,True
station_b,14,2025-08-02 00:24,1,53,56,53;54;55;56,11;12;13;14,True
station_b,15,2025-08-02 00:24,2,57,60,57;58;59;60,11;12;13;14,True
station_b,16,2025-08-02 00:28,1,61,64,61;62;63;64,11;12;13;14,True
station_b,17,2025-08-02 00:28,2,65,68,65;66;67;68,11;12;13;14,True
station_b,18,2025-08-02 00:30,1,69,72,69;70;71;72,11;12;13;14,True
